,ROI,start,end,amplitude
0,25,921,950,114.94690265486727
1,65,298,309,80.875
2,65,907,918,85.61607142857143
3,65,1064,1074,94.69642857142857
4,68,900,914,91.56637168141592
5,68,1065,1075,143.32743362831854
6,68,1352,1363,77.84070796460179
7,69,901,911,102.42477876106193
8,69,1063,1075,93.93805309734512
9,70,906,921,97.3008849557522
10,71,721,736,118.12389380530972
11,71,906,917,92.2566371681416
12,72,136,150,118.76106194690266
13,73,917,942,131.35398230088495
14,73,1065,1125,125.01769911504424
15,75,99,112,125.57522123893807
16,75,200,213,92.20353982300884
17,75,358,371,129.26548672566372
18,75,448,458,99.24778761061948
19,75,724,767,139.49557522123894
20,75,931,956,133.30088495575222
21,75,1713,1725,117.94690265486727
22,81,301,345,121.7433628318584
23,81,1206,1216,78.30973451327435
24,81,1536,1605,97.60176991150442
25,81,1613,1627,98.15044247787613
26,87,727,740,106.23893805309734
27,91,722,734,74.05309734513273
28,91,1711,1721,65.45132743362832
