,ROI,start,end,amplitude
0,48,1715,1728,99.43362831858408
1,65,1714,1729,106.15178571428572
2,68,625,640,91.00884955752213
3,68,1604,1618,122.27433628318585
4,69,766,780,115.3716814159292
5,69,966,977,94.23008849557522
6,69,1103,1117,101.63716814159292
7,70,189,202,105.38938053097344
8,70,767,782,97.77876106194692
9,72,214,237,129.34513274336285
10,72,1715,1758,112.59292035398232
11,73,70,83,121.79646017699116
12,73,202,250,136.7787610619469
13,73,217,241,136.7787610619469
14,73,598,611,80.4159292035398
15,73,1718,1729,131.2920353982301
16,75,350,427,139.08849557522123
17,75,489,508,143.424778761062
18,75,497,508,143.424778761062
19,75,922,1002,137.97345132743362
20,75,1182,1226,140.01769911504422
21,75,1563,1577,119.61946902654869
22,75,1570,1632,146.34513274336285
23,75,1777,1806,87.59292035398232
24,81,511,524,131.91150442477877
25,81,718,786,118.50442477876106
26,81,906,921,107.92035398230087
27,81,1115,1194,87.46017699115046
28,81,1203,1229,123.68141592920355
29,81,1398,1410,93.76106194690266
30,87,340,356,96.18584070796459
31,91,1189,1225,111.77876106194692
32,91,1578,1616,96.31858407079645
